"Year","Month","Site_No","No_Readings","Ave"
1966,3,7,31,5.55
1966,3,13,31,4.94
1966,4,7,30,4.32
1966,4,13,30,3.95
1966,5,7,31,4.2
1966,5,13,31,4.13
1966,6,7,30,4.45
1966,6,13,30,3.81
1966,7,7,31,4.12
1966,7,13,31,3.55
1966,8,7,31,4.58
1966,8,13,31,3.86
1966,9,7,30,3.76
1966,9,13,30,3.43
1966,10,7,31,3.14
1966,10,13,31,3.71
1966,11,7,30,3.99
1966,11,13,30,4.38
1966,12,7,31,5.82
1966,12,13,31,5.74
1967,1,7,31,4.42
1967,1,13,31,4.47
1967,2,7,28,6.37
1967,2,13,28,5.64
1967,3,7,31,7.07
1967,3,13,31,6.18
1967,4,7,30,4.88
1967,4,13,30,4.15
1967,5,7,31,4.2
1967,5,13,31,4.11
1967,6,7,30,3.99
1967,6,13,30,3.31
1967,7,7,31,3.22
1967,7,13,31,2.94
1967,8,7,31,3.49
1967,8,13,31,3.66
1967,9,7,30,3.7
1967,9,13,30,3.9
1967,10,7,31,6.01
1967,10,13,31,5.99
1967,11,7,30,3.98
1967,11,13,30,4.56
1967,12,7,31,5.16
1967,12,13,31,5.12
1968,1,7,31,5.41
1968,1,13,31,5.12
1968,2,7,29,4.32
1968,2,13,29,4.27
1968,3,7,31,6.75
1968,3,13,31,5.26
1968,4,7,30,4.25
1968,4,13,30,3.94
1968,5,7,31,4.43
1968,5,13,31,3.8
1968,6,7,30,4.36
1968,6,13,30,3.91
1968,7,7,31,4.16
1968,7,13,31,3.71
1968,8,7,31,4.09
1968,8,13,31,3.34
1968,9,7,30,4.02
1968,9,13,30,4
1968,10,7,31,4.42
1968,10,13,31,3.99
1968,11,7,30,3.88
1968,11,13,30,3.78
1968,12,7,31,3.85
1968,12,13,31,3.82
1969,1,7,31,4.98
1969,1,13,31,4.69
1969,2,7,28,4.97
1969,2,13,28,4.32
1969,3,7,31,5.84
1969,3,13,31,4.61
1969,4,7,30,5.25
1969,4,13,30,4.62
1969,5,7,31,4.46
1969,5,13,31,3.56
1969,6,7,30,3.84
1969,6,13,30,3.53
1969,7,7,31,3.59
1969,7,13,31,2.92
1969,8,7,31,3.55
1969,8,13,31,3.28
1969,9,7,30,3.44
1969,9,13,30,3.09
1969,10,7,31,3.4
1969,10,13,31,3.08
1969,11,7,30,6.32
1969,11,13,30,5.44
1969,12,7,31,3.8
1969,12,13,31,3.41
